country_name,country_code,indicator_name,indicator_code,x1960,x1961,x1962,x1963,x1964,x1965,x1966,x1967,x1968,x1969,x1970,x1971,x1972,x1973,x1974,x1975,x1976,x1977,x1978,x1979,x1980,x1981,x1982,x1983,x1984,x1985,x1986,x1987,x1988,x1989,x1990,x1991,x1992,x1993,x1994,x1995,x1996,x1997,x1998,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,x2020,x2021,x2022,x2023,x2024,x2025,x2026,x2027,x2028,x2029,x2030,x2031,x2032,x2033,x2034,x2035,x2036,x2037,x2038,x2039,x2040,x2041,x2042,x2043,x2044,x2045,x2046,x2047,x2048,x2049,x2050
Africa Eastern and Southern,AFE,Population growth (annual %),SP.POP.GROW,NA,2.66224926978948,2.7234343782862,2.75120752166451,2.80857280928712,2.84973176810312,2.85018589649443,2.88566237309606,2.93271180589459,2.93160026296162,2.93063105666111,2.92893533700049,2.88338903986986,2.96364194137619,3.01961504848429,2.96497259888187,2.96026727011098,2.87001005297891,3.03465846220606,3.17855980417689,3.0443726887341,3.14150711394378,3.26785822932005,3.18223457696078,3.08051410334732,3.05678113704767,3.03260406654348,3.04211552630719,2.94730563201015,2.86605616579704,2.90802982821092,2.78887467049138,2.69618841775714,2.80819830499328,2.69499265381709,2.63024361584531,2.68050337879644,2.59675242477352,2.62468276834985,2.65759351552303,2.62936284726333,2.62243809415205,2.64210223593954,2.65366707958295,2.67656489470536,2.69413117273317,2.70572341571184,2.72799150372742,2.76107013779403,2.77504408278002,2.77225647530944,2.72098204624472,2.73011584727331,2.78635819350614,2.74099739577195,2.73352397052171,2.67591983861188,2.67727931034586,2.77198682925259,2.75905656190882,2.73628313165544,2.68484883132038,2.62665871413246,2.55285936960851,2.50381195956266,2.54310035021975,2.55239913560714,2.49194401057279,2.43306302320225,2.39684225173451,2.36235306949348,2.32674508040587,2.28674297647633,2.24491934609125,2.21236761405805,2.18282255417226,2.14528981261845,2.10579625429967,2.0697917549788,2.03490037868654,2.00440480831937,1.97264031907602,1.93868486302559,1.90982146796652,1.88015454878484,1.84587597634082,1.81454162449641,1.78858579920321,1.75885570242711,1.72658350515935,1.69503863048643
Africa Western and Central,AFW,Population growth (annual %),SP.POP.GROW,NA,2.12611833801636,2.15440141950777,2.19373064916084,2.20893767291363,2.24102543471829,2.27476429916673,2.29045913733925,2.32841210738759,2.36926757193005,2.41856530395607,2.44614361079096,2.48138870125616,2.5538598364221,2.6334275598235,2.71165527294503,2.7187387092197,2.75493828489278,2.83336547731738,2.87168874775423,2.87277523708355,2.8875136917929,2.94490240141891,2.77013716003094,2.66981317040971,2.77168390107831,2.77778795829604,2.77568249673353,2.78641060317508,2.80990817508867,2.69709676958711,2.67823844027471,2.79426623012224,2.73763070553722,2.69017059507,2.76044229051251,2.75793131308918,2.75637672485839,2.80017284158439,2.76931386221215,2.78952236107727,2.84115181710704,2.85064628363609,2.85414618624535,2.86894877930308,2.88029023306842,2.86639681729919,2.8621653297362,2.86638405272015,2.83172616224062,2.82618879079497,2.8630811645911,2.82029989246541,2.7688001704607,2.76793027558122,2.73612176996667,2.70895567837629,2.66108668870843,2.56598948293087,2.4700607921237,2.41794516785151,2.39198885812581,2.35968049760977,2.41490120432939,2.42746785464692,2.33359090057399,2.27289881484136,2.25249944179455,2.22978869027122,2.1972682701318,2.16496635547669,2.13537724232286,2.10838105034356,2.07726352403243,2.04205001888524,2.00703180687426,1.97562228356449,1.94065318189333,1.90340131226895,1.8691912678628,1.83174984620772,1.7948199636578,1.75995053424382,1.72331151133124,1.68734433239181,1.65195539138207,1.616631449799,1.58156784431496,1.54921742563793,1.51593939188143,1.48333662012171
Arab World,ARB,Population growth (annual %),SP.POP.GROW,NA,2.61176285958357,2.6582255531395,2.70657255945407,2.71737834825441,2.71724616277478,2.78393666362188,2.87575991204347,2.91466394098402,2.93816217790794,2.91836826802686,2.88998779713627,2.89207468672452,2.97963956091933,3.00542975152369,3.11419788793496,3.23901995727658,3.18385483480491,3.3441111742249,3.57198851174473,3.52282799744926,3.25413043735845,3.14963722275061,3.19491396824216,3.18315982632751,3.12170646070548,3.08809090839834,3.02998888654202,2.80900250652005,2.71050565460464,3.34086083105195,2.33798799480038,2.59158886987818,2.81862234916363,2.78106277397263,2.55466343155805,2.47155750024438,2.43480129189693,2.44931311978579,2.42240041136867,2.44484321194313,2.45409273283043,2.42225318343278,2.36907121976631,2.35374154234568,2.40213525870795,2.44797350497772,2.54795631851516,2.57757638889101,2.50285848854304,2.01518786871135,2.33419540096943,2.41234349549037,2.60454541373505,2.37284190270831,2.48848060268234,2.34468077710756,2.02653072107492,1.79357671548049,1.89983758184612,2.1252129408143,1.52590024157876,2.32400780343972,2.18848579312262,1.92874612627778,1.92530442588063,1.92104490901844,1.84370411091248,1.74266896087624,1.69141381402101,1.64532589921293,1.6089993765435,1.57838513615826,1.55052568025013,1.52465637021192,1.50241875695871,1.4781979263587,1.45589440207731,1.43088920759346,1.40615596975052,1.3873851465576,1.36282411737175,1.33029854910475,1.29981515968688,1.27443911215905,1.25065199992077,1.22127449011506,1.19397253054935,1.17139872227926,1.14851589017177,1.12469014259224
Caribbean small states,CSS,Population growth (annual %),SP.POP.GROW,NA,2.2008223391434,2.22024379909018,2.31738336406901,2.20407169307344,2.10658918145291,2.1046182308859,2.09290504012815,2.0799150346251,2.0375360166783,1.81272434379214,1.56841251833435,1.15197054951711,0.759065295186431,0.679827338761043,0.6458550745172,0.624248735710182,0.586027795178594,0.527735773691489,0.469932230778979,0.518184342093476,0.565527458973022,0.556539933683268,0.569656200173,0.576273689200789,0.591130721024939,0.577926633788621,0.505272948378831,0.501803978124286,0.515387265074323,0.415077007817998,0.53493073119408,0.797112428661421,0.814875994363518,0.846339048922686,1.02134346476319,1.09999088272789,1.09091009771162,1.07722049567324,1.0510306502865,0.99344153906442,0.950708432345706,0.949269590309299,0.948940834491779,0.844602753180808,0.723350379077999,0.72635894204447,0.745301325953121,0.740860767752366,0.724831423611661,0.663707221499777,0.611670806455052,0.701788458968195,0.825161729832629,0.825401722586448,0.792906847980233,0.772940276415369,0.738726627966841,1.29449773667249,1.00653935669264,0.436094518323074,0.615409090865,0.63941195696502,0.667059449050853,0.581558015907916,0.569806230558484,0.551054724764284,0.540019448809019,0.523438888649337,0.495840990200747,0.480467035944911,0.467718128394054,0.456567530778755,0.439928116914472,0.418194852513352,0.396128954009427,0.365111816615183,0.340067650044346,0.32362325015849,0.304081091448082,0.284923655450114,0.271520852201206,0.248865711111534,0.219767160381721,0.196094981936994,0.175160651379584,0.155067226836962,0.133530782244577,0.115769654945509,0.0953198227845462,0.0753667433170335
Central Europe and the Baltics,CEB,Population growth (annual %),SP.POP.GROW,NA,0.90914437931417,0.842173849376564,0.892938912539875,0.933268169945748,0.765651600137019,0.739040966340368,0.932884223482005,0.86636816751951,0.738228758111318,0.535377793562162,0.505081235655609,0.724545722559383,0.752830184185853,0.818132799961389,0.90313494078218,0.890036863590808,0.810221485747561,0.681068841622163,0.587888108767955,0.559422125910529,0.551969904332708,0.560992635895857,0.526738140160645,0.498842834691146,0.459592848542996,0.444383227704719,0.430013736685225,0.353878196868123,0.103806472211573,-0.0528078826270075,-0.247113301693985,-0.324083214776436,-0.0631451111344034,-0.0184747769404651,-0.143015561108853,-0.216678317712208,-0.186252019293846,-0.167857449305003,-0.162387125252905,-0.562187468913606,-0.726416603803869,-0.650464177326483,-0.313747925609888,-0.274282095915452,-0.272548032611453,-0.254078785886832,-0.372245215653023,-0.35762903541044,-0.191813702998061,-0.361666299699507,-0.23693312734882,-0.236056895481013,-0.227242619053043,-0.224290294293695,-0.244908659231583,-0.270537547296058,-0.26216885251145,-0.211939855530872,-0.152977297803531,-0.230756579555205,-1.37099846001802,-0.355886308735534,-0.113214356520089,-0.712801474455034,-0.937277389418753,-0.418606308556846,-0.441220655477863,-0.466304650453892,-0.494466135056143,-0.514690039182014,-0.535834883134427,-0.550889600685735,-0.566672431307608,-0.579665570843531,-0.590625082674961,-0.602789346549656,-0.609512716283092,-0.610427937106592,-0.611814951568305,-0.606603624376234,-0.604780797332296,-0.599640532521831,-0.59639881705938,-0.594395165769697,-0.594458277482885,-0.595607197645847,-0.603939129767312,-0.60862575320182,-0.620665990710861,-0.63440373341578
Early-demographic dividend,EAR,Population growth (annual %),SP.POP.GROW,NA,2.60782753758444,2.61059028229766,2.60424996021954,2.61047767365454,2.53653958550093,2.47083965563513,2.51158410519023,2.51720841276059,2.49590984326519,2.50293273529278,2.42230877618423,2.41883929913602,2.4989661782496,2.50422959138019,2.50629319855535,2.49476651730779,2.47621571812715,2.44123265899072,2.4839914316249,2.56198456384862,2.64739383824759,2.65745436343198,2.59733840758838,2.56609104476466,2.535027929801,2.50671283495837,2.48003650210344,2.44679091833317,2.39937061770305,2.48535105100424,2.34126015799091,2.23467796112424,2.14142181061987,2.01693285072532,2.01788599593635,2.09316214383375,2.05740404704293,1.98718656049608,1.92806591264735,1.89740028919389,1.86910679015275,1.78310453988372,1.73686283327538,1.74060440457159,1.69546124944494,1.67514799444403,1.64487645847366,1.60436302044549,1.58625062084615,1.55878267767765,1.56288649212079,1.50631611916558,1.4648499694905,1.38940972446799,1.38294864374285,1.33889476014661,1.26898549756137,1.227368940274,1.23013063191095,1.22313600779403,1.05931574699789,1.1252461655236,1.16497016934462,1.130049957201,1.10482674806216,1.08263274676248,1.06672856991858,1.04597819524042,1.02171327694667,0.997154673785232,0.973162235458374,0.948341276391445,0.924405995238132,0.900981757946311,0.878043881575663,0.853755693965311,0.828706953027349,0.804506172294864,0.780541821987483,0.756444333690865,0.733480676236681,0.709777149835886,0.685406968631909,0.661896491889791,0.638418685197734,0.615329293391738,0.590601830097554,0.566965890098543,0.543923953009624,0.522125316993921
East Asia & Pacific,EAS,Population growth (annual %),SP.POP.GROW,NA,0.183291764718404,1.38470519749891,2.4432047370285,2.35516180740984,2.36059507637833,2.58203056145191,2.43595630694319,2.49148910194621,2.59456454885508,2.59172918418499,2.64877096394305,2.37152970841012,2.24311308810625,2.08662866680755,1.849150353264,1.67494952505802,1.54739673457784,1.52554201144188,1.53660623160374,1.48762325793656,1.51331457550752,1.638907925064,1.62065020353949,1.521073079806,1.52268949508179,1.56985289511084,1.63196347011043,1.62751177559852,1.5690264774373,1.51562750256128,1.45533711686134,1.3493673525086,1.2939006724961,1.27455701068383,1.24106182857102,1.21806320420955,1.18267147345787,1.12551128839217,1.01813157045384,0.947217339985968,0.903955294107689,0.844128558793073,0.796567681873909,0.760235559161671,0.7469115184509,0.754993179884408,0.760574888863828,0.757985567543912,0.717951128082887,0.703231754128452,0.732080730743575,0.818298347186271,0.799913647233665,0.76369163489447,0.720488144290669,0.70547099682912,0.707765372801588,0.604283390982402,0.519461917814311,0.409683466373849,0.240805303101737,0.189625522122355,0.202354062492943,0.0669056970565833,0.0633912669298695,0.059577189475803,0.0375154988776529,0.0113957955199026,-0.0124097836251593,-0.0338712724357748,-0.0557891379621509,-0.0757172641913257,-0.0957499043640695,-0.113498263269704,-0.132647938491601,-0.150291856240386,-0.165553659668617,-0.17903048228392,-0.19322986186809,-0.2067370907411,-0.220072464066561,-0.232861137370548,-0.248683060284847,-0.271693171211822,-0.301033274540316,-0.333839370629917,-0.369904417695437,-0.406193005835575,-0.445573821044092,-0.479586893858424
East Asia & Pacific (excluding high income),EAP,Population growth (annual %),SP.POP.GROW,NA,-0.0476531618067781,1.33310776080459,2.57173650722589,2.4680240159258,2.47262158470282,2.75275960636965,2.60881477378194,2.64216393001068,2.73846365010146,2.73615447316476,2.70999318716194,2.48783081248464,2.34343833396431,2.15951632559749,1.91144460956711,1.73682984095357,1.59984110931519,1.58172979074906,1.58674435776066,1.54149992938728,1.56665419763317,1.71384596022974,1.70510771251748,1.6070136584513,1.62094985096783,1.68444760037867,1.75455215220239,1.75147538837477,1.68250914802419,1.62769631934538,1.5467398697814,1.4379799677003,1.37861357122307,1.35439559780523,1.3196387487651,1.28334807368118,1.25845889204374,1.1947718372494,1.08817570859251,1.00385054171535,0.948286249626235,0.893021880278595,0.850174785658296,0.817013986902253,0.805794771089637,0.797765558058216,0.793258210616286,0.783791248257429,0.756649254541912,0.744490709014172,0.78559409120551,0.877769064921764,0.861358324996317,0.8169394821373,0.767850983940547,0.750722855646657,0.760438686787452,0.644886334653421,0.551771286313254,0.453365943794125,0.315168303436934,0.235214356889642,0.185949551047357,0.104191395682804,0.100266718682078,0.0994048118959654,0.0751214947842129,0.0486323401909487,0.0229030492565556,9.40584614014028e-4,-0.0220526734892416,-0.0430477272322349,-0.0642527451396972,-0.0829309913074212,-0.101940563771364,-0.121651247538963,-0.138834268983529,-0.152080451628862,-0.168409054246609,-0.181296201597618,-0.19476799828601,-0.20840671771603,-0.225753246337362,-0.249889507378114,-0.281296728203003,-0.317294932135141,-0.353880989899778,-0.395141656951139,-0.435590092741151,-0.472208413819203
East Asia & Pacific (IDA & IBRD countries),TEA,Population growth (annual %),SP.POP.GROW,NA,-0.078520556815107,1.32042405804311,2.57299933136803,2.46667497289215,2.47148410953089,2.75423140748083,2.60523878548985,2.63836562256727,2.73762336732342,2.73603854623212,2.7110331285523,2.48648951220647,2.34335504494478,2.16205407817969,1.91312943201091,1.73861431245319,1.60192842293905,1.58433236008343,1.58934282877423,1.54329922754934,1.56823918594145,1.71694883151698,1.70819052901407,1.60881621834323,1.62292662633873,1.68721534735753,1.75826652347954,1.75522579474261,1.68538021463923,1.62969151921311,1.54738855674114,1.43711009134763,1.37723234664683,1.35308687986001,1.32085226453064,1.28716220945059,1.26272330215053,1.19911540877259,1.09202548570026,1.00765009898185,0.952454197195521,0.897650968900194,0.853293870286719,0.818758665813575,0.808682844871853,0.801290418869868,0.79707543052956,0.787698032790999,0.760460249820482,0.748409242511982,0.789966158953575,0.883168966009833,0.866371584690313,0.821201434197391,0.771393894146001,0.754122570744456,0.764153872332059,0.647458503975542,0.553531844302625,0.454290197455236,0.31450580379284,0.233568119502081,0.184031725241482,0.101676907368528,0.098107653256136,0.0976914089628735,0.0735734499830726,0.0472275059732396,0.0216488414277904,-1.24266481719814e-4,-0.0229436767932611,-0.0437360448146506,-0.0647774740874211,-0.0832870678295876,-0.102149196426225,-0.121747111672647,-0.138815064720631,-0.151932218653726,-0.168190505433202,-0.180988319721407,-0.194415012020101,-0.20804333920104,-0.225419169123213,-0.249668141764857,-0.281295381965293,-0.31757109718788,-0.354436386600482,-0.396028377742553,-0.436789235748392,-0.473671582294741
Euro area,EMU,Population growth (annual %),SP.POP.GROW,NA,0.860259063730666,0.859619639822526,0.869735792107746,0.871450719630416,0.860911919308392,0.805185019220772,0.70324117025207,0.666320277619618,0.684651197145953,0.570329294730243,0.576265599105823,0.685258839483694,0.638252064591696,0.55528486634499,0.485372844100567,0.428461342947002,0.403384876619597,0.413610234594472,0.416221721156631,0.442753210533126,0.401793333822979,0.251098716722125,0.207940323946715,0.162498347768334,0.184230777440447,0.243086308238503,0.273087500457009,0.33612957362456,0.434622542477569,0.461784693854269,0.417892216619961,0.420614281477725,0.411053140299344,0.303341779679769,0.244266448700841,0.236227055567269,0.228755215603399,0.207259509578022,0.248657959171211,0.310263546634075,0.32802854919592,0.483557227184377,0.536324475927358,0.544186567646946,0.513043081845879,0.462470314028905,0.513425721017029,0.483426102994528,0.319772329118933,0.23082503835154,-0.217598904054781,0.214231736005515,0.331195009203227,0.333170158970716,0.287495669558651,0.278419213446824,0.196629652367846,0.223725639616972,0.100599285179939,0.135183018327182,0.0496428068289986,0.44154649855848,0.299354176558551,-0.146143743508787,-0.250789767366683,-0.115814639072709,-0.127205080635121,-0.137776430174554,-0.151266336814387,-0.166348513409374,-0.183468422471023,-0.182518077558512,-0.190930312470229,-0.194607217690034,-0.205948128960031,-0.214804092722204,-0.217585525340425,-0.225119040257965,-0.236781434494403,-0.239758396512854,-0.237968164637948,-0.249785147452954,-0.269479453879867,-0.281135983295101,-0.294119315124945,-0.304000005888624,-0.320747214543487,-0.332401722401485,-0.347428129524956,-0.3505738308817
