Unit,Vibrations / cycles / waves / rate per second (formatted),Vibrations / cycles / waves / rate per second (not formatted),Description,Statistic,Source,,,,,,,,,,,,,,,,,,,,,,
TRILLIONS,"...........495,000,000,000,000","495,000,000,000,000",Orange,MEDIAN,https://en.wikipedia.org/wiki/Visible_spectrum,,,,,,,,,,,,,,,,,,,,,,
TRILLIONS,"...........520,000,000,000,000","520,000,000,000,000",Yellow,MEDIAN,https://en.wikipedia.org/wiki/Visible_spectrum,,,,,,,,,,,,,,,,,,,,,,
TRILLIONS,"...........565,000,000,000,000","565,000,000,000,000",Green,MEDIAN,https://en.wikipedia.org/wiki/Visible_spectrum,,,,,,,,,,,,,,,,,,,,,,
TRILLIONS,"...........610,000,000,000,000","610,000,000,000,000",Cyan,MEDIAN,https://en.wikipedia.org/wiki/Visible_spectrum,,,,,,,,,,,,,,,,,,,,,,
TRILLIONS,"...........630,000,000,000,000","630,000,000,000,000",Blue ,MEDIAN,https://en.wikipedia.org/wiki/Visible_spectrum,,,,,,,,,,,,,,,,,,,,,,
TRILLIONS,"...........730,000,000,000,000","730,000,000,000,000",Violet,MEDIAN,https://en.wikipedia.org/wiki/Visible_spectrum,,,,,,,,,,,,,,,,,,,,,,
TRILLIONS,"...........750,000,000,000,000","750,000,000,000,000",Ultraviolet light,START,"https://www.britannica.com/summary/ultraviolet-radiation#:~:text=Ultraviolet%20(UV)%20radiation%20lies%20between,are%20limited%20to%20the%20skin.",,,,,,,,,,,,,,,,,,,,,,
TRILLIONS,"...........850,000,000,000,000","850,000,000,000,000",UVA - ages your skin,MEDIAN,"https://www.britannica.com/summary/ultraviolet-radiation#:~:text=Ultraviolet%20(UV)%20radiation%20lies%20between,are%20limited%20to%20the%20skin.",,,,,,,,,,,,,,,,,,,,,,
QUADRILLION,"..........1,010,000,000,000,000","1,010,000,000,000,000",UVB - burns your skin,MEDIAN,"https://www.britannica.com/summary/ultraviolet-radiation#:~:text=Ultraviolet%20(UV)%20radiation%20lies%20between,are%20limited%20to%20the%20skin.",,,,,,,,,,,,,,,,,,,,,,
QUADRILLION,"..........1,285,000,000,000,000","1,285,000,000,000,000",UVC,MEDIAN,"https://www.britannica.com/summary/ultraviolet-radiation#:~:text=Ultraviolet%20(UV)%20radiation%20lies%20between,are%20limited%20to%20the%20skin.",,,,,,,,,,,,,,,,,,,,,,
QUINTILLIONS,"31,016,000,000,000,000,000","31,016,000,000,000,000,000",X-rays,START,https://en.wikipedia.org/wiki/X-ray,,,,,,,,,,,,,,,,,,,,,,
SEXTILLIONS,"30,000,000,000,000,000,000,000","30,000,000,000,000,000,000,000",Gamma Rays,START,https://en.wikipedia.org/wiki/Gamma_ray,,,,,,,,,,,,,,,,,,,,,,
