date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_bigmac,adj_price,USD_adjusted,EUR_adjusted,GBP_adjusted,JPY_adjusted,CNY_adjusted
4/1/2001,CHE,CHF,Switzerland,6.3,1.73,3.641618497,0.62572,0.6102,0.27969,0.53592,2.04572,22310.048,2.085847398,0.86255,0.55433,0.24452,0.70986,1.29244
4/1/2001,CHL,CLP,Chile,1260,601,2.096505824,-0.06406,-0.073,-0.26327,-0.11576,0.75344,4509.623598,1.642002629,0.36213,0.13672,-0.08985,0.25046,0.67652
4/1/2001,CHN,CNY,China,9.9,8.28,1.195652174,-0.46623,-0.47132,-0.57984,-0.49571,0,1620.622125,1.569966807,-0.18752,-0.32197,-0.45712,-0.25413,0
4/1/2001,CZE,CZK,Czech Republic,56,39,1.435897436,-0.35897,-0.3651,-0.49542,-0.39438,0.20093,8813.83288,1.749325956,-0.12431,-0.26922,-0.41488,-0.1961,0.0778
4/1/2001,DNK,DKK,Denmark,24.75,8.46,2.925531915,0.30604,0.29357,0.02805,0.2339,1.44681,21137.3539,2.056606852,0.51757,0.26644,0.01401,0.39316,0.86784
4/1/2001,EUZ,EUR,Euro area,2.57,1.136363636,2.261600001,0.00964,0,-0.20526,-0.04613,0.89152,19407.90103,2.0134838,0.1983,0,-0.19932,0.10006,0.47487
4/1/2001,GBR,GBP,Britain,1.99,0.699300699,2.845700001,0.2704,0.25827,0,0.20023,1.38004,20010.7237,2.028514885,0.4966,0.24894,0,0.37391,0.84203
4/1/2001,HKG,HKD,Hong Kong,10.7,7.8,1.371794872,-0.38759,-0.39344,-0.51794,-0.42142,0.14732,40557.94076,2.54084957,-0.42402,-0.51933,-0.61514,-0.47124,-0.29108
4/1/2001,HUN,HUF,Hungary,399,303,1.316831683,-0.41213,-0.41774,-0.53726,-0.4446,0.10135,6372.143916,1.688443651,-0.16797,-0.30565,-0.44405,-0.23618,0.02407
4/1/2001,IDN,IDR,Indonesia,14700,10855,1.354214648,-0.39544,-0.40121,-0.52412,-0.42883,0.13262,992.9790139,1.554316837,-0.07051,-0.22432,-0.37894,-0.14671,0.14402
4/1/2001,JPN,JPY,Japan,294,124,2.370967742,0.05847,0.04836,-0.16682,0,0.98299,31783.59321,2.322065558,0.0893,-0.09096,-0.27215,0,0.34072
4/1/2001,KOR,KRW,South Korea,3000,1325,2.264150943,0.01078,0.00113,-0.20436,-0.04505,0.89365,9815.544882,1.774303149,0.36136,0.13608,-0.09037,0.24976,0.67557
4/1/2001,MEX,MXN,Mexico,21.9,9.29,2.35737352,0.0524,0.04235,-0.1716,-0.00573,0.97162,6293.270385,1.686476978,0.49123,0.24446,-0.00359,0.36898,0.83541
4/1/2001,MYS,MYR,Malaysia,4.52,3.8,1.189473684,-0.46898,-0.47406,-0.58201,-0.49832,-0.00517,7085.993204,1.706243129,-0.25628,-0.37935,-0.50306,-0.31725,-0.08462
4/1/2001,NZL,NZD,New Zealand,3.6,2.47,1.457489879,-0.34933,-0.35555,-0.48783,-0.38528,0.21899,18035.08809,1.979253389,-0.2144,-0.3444,-0.47508,-0.2788,-0.03308
4/1/2001,PHL,PHP,Philippines,59,50.3,1.172962227,-0.47636,-0.48136,-0.58781,-0.50528,-0.01898,1650.796588,1.570719193,-0.20332,-0.33516,-0.46768,-0.26863,-0.01945
4/1/2001,POL,PLN,Poland,5.9,4.03,1.464019851,-0.34642,-0.35266,-0.48553,-0.38252,0.22445,6549.09939,1.692855948,-0.07738,-0.23006,-0.38352,-0.15301,0.13557
4/1/2001,RUS,RUB,Russia,35,28.9,1.211072664,-0.45934,-0.46451,-0.57442,-0.48921,0.0129,2246.649344,1.585576486,-0.18515,-0.31999,-0.45553,-0.25195,0.00293
4/1/2001,SGP,SGD,Singapore,3.3,1.81,1.82320442,-0.18607,-0.19384,-0.35931,-0.23103,0.52486,25077.38579,2.154849596,-0.09736,-0.24673,-0.39687,-0.17136,0.11097
4/1/2001,SWE,SEK,Sweden,24,10.28,2.33463035,0.04225,0.03229,-0.17959,-0.01533,0.9526,23872.47828,2.124805824,0.17218,-0.02179,-0.21677,0.07609,0.44273
4/1/2001,THA,THB,Thailand,55,45.5,1.208791209,-0.46036,-0.46552,-0.57522,-0.49017,0.01099,3131.316689,1.607635228,-0.19784,-0.33058,-0.46401,-0.2636,-0.0127
4/1/2001,TWN,TWD,Taiwan,70,32.9,2.127659574,-0.05015,-0.05922,-0.25232,-0.10262,0.7795,14201.45754,1.88366371,0.20502,0.00561,-0.19483,0.10624,0.48315
4/1/2001,USA,USD,United States,2.24,1,2.24,0,-0.00955,-0.21285,-0.05524,0.87345,34496.241,2.389704087,0,-0.16548,-0.33182,-0.08198,0.23081
4/1/2001,ZAF,ZAR,South Africa,9.7,8.13,1.193111931,-0.46736,-0.47245,-0.58073,-0.49678,-0.00212,4833.090276,1.65006811,-0.22861,-0.35626,-0.48457,-0.29185,-0.05057
4/1/2002,ARG,ARS,Argentina,2.5,3.13,0.798722045,-0.66012,-0.66388,-0.72319,-0.60369,-0.37015,8120.23042,1.881308143,-0.55825,-0.61941,-0.68213,-0.47837,-0.41272
4/1/2002,AUS,AUD,Australia,3,1.86,1.612903226,-0.31366,-0.32125,-0.44103,-0.1997,0.27189,28134.26345,2.281581726,-0.26445,-0.36629,-0.47072,-0.13145,-0.02213
4/1/2002,BRA,BRL,Brazil,3.6,2.34,1.538461538,-0.34534,-0.35258,-0.46683,-0.23664,0.21319,4480.59225,1.808516667,-0.11488,-0.23743,-0.36309,0.04518,0.17672
4/1/2002,CAN,CAD,Canada,3.33,1.57,2.121019108,-0.09744,-0.10743,-0.26494,0.05241,0.67258,25469.06429,2.228278685,-0.0096,-0.14672,-0.28733,0.1695,0.31669
4/1/2002,CHE,CHF,Switzerland,6.3,1.66,3.795180723,0.61497,0.5971,0.31526,0.8831,1.99277,24558.89321,2.210075585,0.78675,0.53937,0.28569,1.10984,1.37538
4/1/2002,CHL,CLP,Chile,1400,655,2.13740458,-0.09047,-0.10053,-0.25926,0.06054,0.6855,4618.356099,1.811271895,0.22784,0.05784,-0.11648,0.44987,0.63234
4/1/2002,CHN,CNY,China,10.5,8.28,1.268115942,-0.46038,-0.46635,-0.56052,-0.37078,0,1762.303048,1.754151844,-0.24781,-0.35195,-0.45874,-0.11179,0
4/1/2002,CZE,CZK,Czech Republic,56.28,34,1.655294118,-0.29562,-0.30342,-0.42634,-0.17867,0.30532,9748.95287,1.913882016,-0.10009,-0.22469,-0.35245,0.06264,0.19638
4/1/2002,DNK,DKK,Denmark,24.75,8.38,2.953460621,0.25679,0.24288,0.02355,0.46546,1.32901,23621.19021,2.191321857,0.40237,0.20821,0.0091,0.65596,0.86437
4/1/2002,EUZ,EUR,Euro area,2.67,1.123595506,2.376299999,0.01119,0,-0.17647,0.17908,0.87388,20564.66321,2.130192398,0.1607,0,-0.16479,0.37059,0.54309
4/1/2002,GBR,GBP,Britain,1.99,0.689655172,2.885500002,0.22787,0.21428,0,0.43174,1.27542,22074.56794,2.160389958,0.38972,0.19731,0,0.64102,0.84755
4/1/2002,HKG,HKD,Hong Kong,11.2,8,1.4,-0.40426,-0.41085,-0.51482,-0.30534,0.104,41814.25479,2.555176715,-0.42991,-0.50884,-0.58978,-0.32682,-0.24209
4/1/2002,HUN,HUF,Hungary,459,272,1.6875,-0.28191,-0.28986,-0.41518,-0.16269,0.33071,6673.530031,1.852374647,-0.05212,-0.18336,-0.31793,0.11928,0.26015
4/1/2002,IDN,IDR,Indonesia,16000,9430,1.696712619,-0.27799,-0.28599,-0.41199,-0.15812,0.33798,1076.335353,1.740432733,0.01435,-0.12609,-0.2701,0.19778,0.34853
4/1/2002,ISR,ILS,Israel,12,4.79,2.505219207,0.06605,0.05425,-0.13179,0.24305,0.97554,17341.31485,2.065726571,0.26186,0.08715,-0.092,0.49004,0.67757
4/1/2002,JPN,JPY,Japan,262,130,2.015384615,-0.14239,-0.15188,-0.30155,0,0.58927,37864.55159,2.476184047,-0.15314,-0.27039,-0.39062,0,0.12586
4/1/2002,KOR,KRW,South Korea,3100,1304,2.377300613,0.01162,0.00042,-0.17612,0.17958,0.87467,10897.03235,1.9368432,0.27711,0.10029,-0.08103,0.50805,0.69784
4/1/2002,MEX,MXN,Mexico,21.9,9.28,2.359913793,0.00422,-0.0069,-0.18215,0.17095,0.86096,7577.054459,1.870444816,0.31277,0.13102,-0.05537,0.55016,0.74526
4/1/2002,MYS,MYR,Malaysia,5.04,3.8,1.326315789,-0.43561,-0.44186,-0.54035,-0.3419,0.04589,7703.417966,1.872972041,-0.26319,-0.36521,-0.46982,-0.12996,-0.02046
4/1/2002,NOR,NOK,Norway,35,8.56,4.088785047,0.73991,0.72065,0.41701,1.02879,2.2243,22513.17524,2.169161949,0.96128,0.68974,0.41128,1.31594,1.60742
4/1/2002,NZL,NZD,New Zealand,3.6,2.24,1.607142857,-0.31611,-0.32368,-0.44303,-0.20256,0.26735,20012.52101,2.119149749,-0.2109,-0.32015,-0.43219,-0.06821,0.04906
4/1/2002,PER,PEN,Peru,8.5,3.43,2.478134111,0.05453,0.04285,-0.14118,0.22961,0.95419,1842.390047,1.755753556,0.46858,0.26526,0.05675,0.73415,0.9524
4/1/2002,PHL,PHP,Philippines,65,51,1.274509804,-0.45766,-0.46366,-0.55831,-0.36761,0.00504,1737.242815,1.753650648,-0.2438,-0.3485,-0.45586,-0.10705,0.00533
4/1/2002,POL,PLN,Poland,5.9,4.04,1.46039604,-0.37855,-0.38543,-0.49388,-0.27538,0.15163,7763.93239,1.874182308,-0.18923,-0.30148,-0.4166,-0.04262,0.07787
4/1/2002,RUS,RUB,Russia,39,31.2,1.25,-0.46809,-0.47397,-0.5668,-0.37977,-0.01429,3217.359451,1.783252457,-0.27065,-0.37163,-0.47518,-0.13876,-0.03037
4/1/2002,SGP,SGD,Singapore,3.3,1.82,1.813186813,-0.22843,-0.23697,-0.37162,-0.10033,0.42983,29283.42976,2.304564645,-0.18136,-0.2947,-0.41093,-0.03333,0.08833
