year,period,value_type,mean_temp_c,baseline_1961_1990,baseline_1991_2020
1891,May,Monthly,8.2,9.75,10.64
1891,June,Monthly,13.2,12.66,13.33
1891,July,Monthly,13.7,14.4,15.29
1891,August,Monthly,13,14.24,15.11
1891,September,Monthly,12.8,12.2,12.93
1891,October,Monthly,8.4,9.43,9.73
1891,November,Monthly,4.6,5.51,6.48
1891,December,Monthly,3.5,3.83,4.2
1891,Winter,Seasonal,1.76,3.27,4.08
1891,Spring,Seasonal,5.42,7.05,8.07
1891,Summer,Seasonal,13.31,13.78,14.59
1891,Autumn,Seasonal,8.59,9.05,9.71
1891,Annual,Annual,7.6,8.31,9.14
1892,January,Monthly,1.5,3.02,3.92
1892,February,Monthly,2.5,2.96,4.13
1892,March,Monthly,1.9,4.67,5.7
1892,April,Monthly,6.2,6.73,7.87
1892,May,Monthly,9.9,9.75,10.64
1892,June,Monthly,11.7,12.66,13.33
1892,July,Monthly,12.8,14.4,15.29
1892,August,Monthly,13.6,14.24,15.11
1892,September,Monthly,10.7,12.2,12.93
1892,October,Monthly,6,9.43,9.73
1892,November,Monthly,5.8,5.51,6.48
1892,December,Monthly,1.4,3.83,4.2
1892,Winter,Seasonal,2.5,3.27,4.08
1892,Spring,Seasonal,5.99,7.05,8.07
1892,Summer,Seasonal,12.73,13.78,14.59
1892,Autumn,Seasonal,7.49,9.05,9.71
1892,Annual,Annual,7.01,8.31,9.14
1893,January,Monthly,1.6,3.02,3.92
1893,February,Monthly,3.6,2.96,4.13
1893,March,Monthly,6.2,4.67,5.7
1893,April,Monthly,8.9,6.73,7.87
1893,May,Monthly,11.5,9.75,10.64
1893,June,Monthly,14.1,12.66,13.33
1893,July,Monthly,14.8,14.4,15.29
1893,August,Monthly,15.8,14.24,15.11
1893,September,Monthly,11.6,12.2,12.93
1893,October,Monthly,8.7,9.43,9.73
1893,November,Monthly,4.1,5.51,6.48
1893,December,Monthly,4.1,3.83,4.2
1893,Winter,Seasonal,2.16,3.27,4.08
1893,Spring,Seasonal,8.86,7.05,8.07
1893,Summer,Seasonal,14.88,13.78,14.59
1893,Autumn,Seasonal,8.17,9.05,9.71
1893,Annual,Annual,8.78,8.31,9.14
1894,January,Monthly,2.4,3.02,3.92
1894,February,Monthly,3.8,2.96,4.13
1894,March,Monthly,5.6,4.67,5.7
1894,April,Monthly,8.5,6.73,7.87
1894,May,Monthly,7.9,9.75,10.64
1894,June,Monthly,12.3,12.66,13.33
1894,July,Monthly,14.6,14.4,15.29
1894,August,Monthly,13.2,14.24,15.11
1894,September,Monthly,10.6,12.2,12.93
1894,October,Monthly,8,9.43,9.73
1894,November,Monthly,6.9,5.51,6.48
1894,December,Monthly,4.2,3.83,4.2
1894,Winter,Seasonal,3.43,3.27,4.08
1894,Spring,Seasonal,7.32,7.05,8.07
1894,Summer,Seasonal,13.35,13.78,14.59
1894,Autumn,Seasonal,8.5,9.05,9.71
1894,Annual,Annual,8.19,8.31,9.14
1895,January,Monthly,-0.7,3.02,3.92
1895,February,Monthly,-2.3,2.96,4.13
1895,March,Monthly,4.2,4.67,5.7
1895,April,Monthly,7.1,6.73,7.87
1895,May,Monthly,10.9,9.75,10.64
1895,June,Monthly,13.1,12.66,13.33
1895,July,Monthly,13.7,14.4,15.29
1895,August,Monthly,14.3,14.24,15.11
1895,September,Monthly,14.2,12.2,12.93
1895,October,Monthly,6.2,9.43,9.73
1895,November,Monthly,6.1,5.51,6.48
1895,December,Monthly,3,3.83,4.2
1895,Winter,Seasonal,0.5,3.27,4.08
1895,Spring,Seasonal,7.41,7.05,8.07
1895,Summer,Seasonal,13.73,13.78,14.59
1895,Autumn,Seasonal,8.83,9.05,9.71
1895,Annual,Annual,7.55,8.31,9.14
1896,January,Monthly,3.9,3.02,3.92
1896,February,Monthly,4.2,2.96,4.13
1896,March,Monthly,5.4,4.67,5.7
1896,April,Monthly,7.9,6.73,7.87
1896,May,Monthly,11,9.75,10.64
1896,June,Monthly,14.2,12.66,13.33
1896,July,Monthly,14.6,14.4,15.29
1896,August,Monthly,13,14.24,15.11
1896,September,Monthly,11.7,12.2,12.93
1896,October,Monthly,5.9,9.43,9.73
1896,November,Monthly,4.2,5.51,6.48
1896,December,Monthly,3,3.83,4.2
1896,Winter,Seasonal,3.68,3.27,4.08
1896,Spring,Seasonal,8.11,7.05,8.07
1896,Summer,Seasonal,13.92,13.78,14.59
1896,Autumn,Seasonal,7.27,9.05,9.71
1896,Annual,Annual,8.26,8.31,9.14
1897,January,Monthly,0.9,3.02,3.92
1897,February,Monthly,4.5,2.96,4.13
1897,March,Monthly,5.2,4.67,5.7
1897,April,Monthly,5.8,6.73,7.87
1897,May,Monthly,8.6,9.75,10.64
1897,June,Monthly,13.3,12.66,13.33
1897,July,Monthly,14.9,14.4,15.29
1897,August,Monthly,14.9,14.24,15.11
1897,September,Monthly,10.9,12.2,12.93
1897,October,Monthly,9.1,9.43,9.73
1897,November,Monthly,6.6,5.51,6.48
1897,December,Monthly,3.9,3.83,4.2
1897,Winter,Seasonal,2.72,3.27,4.08
1897,Spring,Seasonal,6.54,7.05,8.07
1897,Summer,Seasonal,14.39,13.78,14.59
1897,Autumn,Seasonal,8.87,9.05,9.71
1897,Annual,Annual,8.23,8.31,9.14
1898,January,Monthly,5.7,3.02,3.92
1898,February,Monthly,3.6,2.96,4.13
1898,March,Monthly,3.5,4.67,5.7
1898,April,Monthly,7.3,6.73,7.87
1898,May,Monthly,9.1,9.75,10.64
1898,June,Monthly,12.3,12.66,13.33
